tenant_id,batch_id,runtime_batch_id,batch_template,batch_anchor_date,runtime_anchor_date,batch_total_intended_amount_minor,batch_intent_count,batch_avg_amount_minor,batch_max_amount_minor,batch_min_amount_minor,batch_amount_stddev,batch_same_beneficiary_amount_density,batch_max_pair_count,client_payout_ref_coverage_rate,currency,source_system,rail,created_hour,created_day_of_week,weekend_flag,intent_type,parse_success_rate,mapping_confidence_score,required_field_completeness_rate,canonicalization_error_rate,missing_required_field_rate,unknown_column_count,invalid_amount_rate,invalid_beneficiary_rate,provider_key,avg_attachment_confidence,low_confidence_rate,candidate_collision_rate,avg_score_margin,carrier_completeness_rate,current_batch_settlement_delay_p50_days,current_batch_settlement_delay_p95_days,provider_missing_provider_ref_rate,provider_missing_client_ref_rate,provider_settlement_delay_p50_days,provider_settlement_delay_p95_days,settlement_delay_p50_days,settlement_delay_p95_days,system_contract_unmatched_intent_amount_minor,system_contract_under_settlement_amount_minor,system_contract_confirmed_reversal_amount_minor,system_contract_total_leakage_amount_minor,system_contract_predicted_leakage_rate,system_outcome_unmatched_intent_amount_minor,system_outcome_under_settlement_amount_minor,system_outcome_confirmed_reversal_amount_minor,system_outcome_total_leakage_amount_minor,system_outcome_predicted_leakage_rate,system_unmatched_intent_amount_minor,system_under_settlement_amount_minor,system_confirmed_reversal_amount_minor,system_total_leakage_amount_minor,system_predicted_leakage_rate,best_system_label_source,predicted_leakage_rate,target_leakage_amount_minor,training_label_source,truth_total_leakage_amount_minor,truth_predicted_leakage_rate,system_label_abs_delta_amount_minor,system_label_abs_delta_rate,system_contract_available,payment_intent_row_count,settlement_observation_row_count,attachment_decision_row_count,variance_row_count
f74d5f6c-5b36-441b-b478-cca9f302feb7,LEAK_BATCH_001,LEAK_BATCH_001__f74d5f6c,control_clean,2026-05-04,2026-06-15,498135.608000,197,2528.607147,4930.008000,148.202000,1386.317889,0.000000,1,1.000000,INR,Razorpay,UPI,8,0,0,PAYOUT,1.000000,0.780000,0.930000,0.000000,0.000000,2,0.000000,0.000000,razorpay,0.979569,0.010152,0.000000,,1.000000,0.0000,5.0000,,,,,,,0.000000,0.000000,0.000000,0.000000,0.000000,5314.440000,0.000000,0.000000,5314.440000,0.010669,0.000000,0.000000,0.000000,0.000000,0.000000,intelligence.batch_contracts,0.000000,0.000000,truth_manifest,0.000000,0.000000,0.000000,0.000000,1,197,197,394,390
f74d5f6c-5b36-441b-b478-cca9f302feb7,LEAK_BATCH_002,LEAK_BATCH_002__f74d5f6c,control_clean,2026-05-05,2026-06-16,533178.793000,205,2600.872161,4992.117000,104.376000,1350.286883,0.024782,1,1.000000,INR,Razorpay,UPI,8,1,0,PAYOUT,1.000000,0.780000,0.930000,0.000000,0.000000,2,0.000000,0.000000,razorpay,0.981610,0.004878,0.000000,,1.000000,0.0000,5.0000,0.152284,0.000000,0.0000,5.0000,0.0000,5.0000,0.000000,0.000000,0.000000,0.000000,0.000000,1172.710000,0.000000,0.000000,1172.710000,0.002199,0.000000,0.000000,0.000000,0.000000,0.000000,intelligence.batch_contracts,0.000000,0.000000,truth_manifest,0.000000,0.000000,0.000000,0.000000,1,205,205,410,408
f74d5f6c-5b36-441b-b478-cca9f302feb7,LEAK_BATCH_003,LEAK_BATCH_003__f74d5f6c,control_clean,2026-05-06,2026-06-17,505403.628000,191,2646.092293,4992.850000,105.537000,1465.153866,0.008834,1,1.000000,INR,Razorpay,UPI,8,2,0,PAYOUT,1.000000,0.780000,0.930000,0.000000,0.000000,2,0.000000,0.000000,razorpay,0.983534,0.000000,0.000000,,1.000000,0.0000,5.0000,0.151741,0.000000,0.0000,5.0000,0.0000,5.0000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,intelligence.batch_contracts,0.000000,0.000000,truth_manifest,0.000000,0.000000,0.000000,0.000000,1,191,191,382,382
f74d5f6c-5b36-441b-b478-cca9f302feb7,LEAK_BATCH_004,LEAK_BATCH_004__f74d5f6c,control_clean,2026-05-07,2026-06-18,558401.213000,229,2438.433245,4992.117000,147.951000,1432.515633,0.000000,1,1.000000,INR,Razorpay,IMPS,8,3,0,PAYOUT,1.000000,0.780000,0.930000,0.000000,0.000000,2,0.000000,0.000000,razorpay,0.981790,0.004367,0.000000,,1.000000,0.0000,5.0000,0.150084,0.000000,0.0000,5.0000,0.0000,5.0000,0.000000,0.000000,0.000000,0.000000,0.000000,4207.310000,0.000000,0.000000,4207.310000,0.007535,0.000000,0.000000,0.000000,0.000000,0.000000,intelligence.batch_contracts,0.000000,0.000000,truth_manifest,0.000000,0.000000,0.000000,0.000000,1,229,229,458,456
f74d5f6c-5b36-441b-b478-cca9f302feb7,LEAK_BATCH_005,LEAK_BATCH_005__f74d5f6c,unmatched_heavy,2026-05-08,2026-06-19,524785.988000,204,2572.480333,4995.693000,118.504000,1453.917680,0.000000,1,1.000000,INR,Razorpay,IMPS,8,4,0,PAYOUT,1.000000,0.780000,0.930000,0.000000,0.000000,2,0.000000,0.000000,razorpay,0.866523,0.124060,0.000000,,1.000000,0.0000,2.0000,0.150852,0.000000,0.0000,5.0000,0.0000,5.0000,85961.570000,0.000000,0.000000,85961.570000,0.163803,262276.760000,0.000000,0.000000,262276.760000,0.499779,85961.570000,0.000000,0.000000,85961.570000,0.163803,intelligence.batch_contracts,0.330000,172173.460000,truth_manifest,172173.460000,0.330000,86211.890000,0.166197,1,204,133,266,233
f74d5f6c-5b36-441b-b478-cca9f302feb7,LEAK_BATCH_006,LEAK_BATCH_006__f74d5f6c,unmatched_heavy,2026-05-09,2026-06-20,631584.377000,240,2631.601571,4992.850000,105.537000,1472.760659,0.000000,1,1.000000,INR,Razorpay,UPI,8,5,1,PAYOUT,1.000000,0.780000,0.930000,0.000000,0.000000,2,0.000000,0.000000,razorpay,0.978526,0.012821,0.000000,,1.000000,0.0000,2.0000,0.151832,0.000000,0.0000,5.0000,0.0000,5.0000,0.000000,0.000000,0.000000,0.000000,0.000000,214341.430000,0.000000,0.000000,214341.430000,0.339371,214341.430000,0.000000,0.000000,214341.430000,0.339371,outcome_engine_fallback,0.330000,208325.640000,truth_manifest,208325.640000,0.330000,6015.790000,0.009371,1,240,156,312,308
f74d5f6c-5b36-441b-b478-cca9f302feb7,LEAK_BATCH_007,LEAK_BATCH_007__f74d5f6c,unmatched_heavy,2026-05-10,2026-06-21,591358.607000,216,2737.771329,4995.693000,105.433000,1396.282604,0.015762,1,1.000000,INR,Razorpay,IMPS,8,6,1,PAYOUT,1.000000,0.780000,0.930000,0.000000,0.000000,2,0.000000,0.000000,razorpay,0.980750,0.007143,0.000000,,1.000000,0.0000,5.0000,0.152115,0.000000,0.0000,5.0000,0.0000,5.0000,0.000000,0.000000,0.000000,0.000000,0.000000,219363.800000,0.000000,0.000000,219363.800000,0.370949,219363.800000,0.000000,0.000000,219363.800000,0.370949,outcome_engine_fallback,0.370000,217191.940000,truth_manifest,217191.940000,0.370000,2171.860000,0.000949,1,216,140,280,278
f74d5f6c-5b36-441b-b478-cca9f302feb7,LEAK_BATCH_008,LEAK_BATCH_008__f74d5f6c,unmatched_heavy,2026-05-11,2026-06-22,497407.029000,203,2450.280931,4981.192000,105.433000,1399.350021,0.000000,1,1.000000,INR,Razorpay,IMPS,8,0,0,PAYOUT,1.000000,0.780000,0.930000,0.000000,0.000000,2,0.000000,0.000000,razorpay,0.980492,0.007576,0.000000,,1.000000,0.0000,2.0000,0.151878,0.000000,0.0000,5.0000,0.0000,5.0000,0.000000,0.000000,0.000000,0.000000,0.000000,179066.970000,0.000000,0.000000,179066.970000,0.360001,179066.970000,0.000000,0.000000,179066.970000,0.360001,outcome_engine_fallback,0.350000,174859.660000,truth_manifest,174859.660000,0.350000,4207.310000,0.010001,1,203,132,264,262
f74d5f6c-5b36-441b-b478-cca9f302feb7,LEAK_BATCH_009,LEAK_BATCH_009__f74d5f6c,under_heavy,2026-05-12,2026-06-23,558586.185000,205,2724.810659,4935.603000,104.070000,1389.651628,0.000000,1,1.000000,INR,Razorpay,IMPS,8,1,0,PAYOUT,1.000000,0.780000,0.930000,0.000000,0.000000,2,0.000000,0.000000,razorpay,0.848756,0.351220,0.000000,,1.000000,0.0000,2.0000,0.152567,0.000000,0.0000,5.0000,0.0000,5.0000,0.000000,0.000000,0.000000,0.000000,0.000000,195203.580000,0.000000,0.000000,195203.580000,0.349460,0.000000,0.000000,0.000000,0.000000,0.000000,intelligence.batch_contracts,0.050000,27835.520000,truth_manifest,27835.520000,0.050000,27835.520000,0.050000,1,205,205,410,266
f74d5f6c-5b36-441b-b478-cca9f302feb7,LEAK_BATCH_010,LEAK_BATCH_010__f74d5f6c,under_heavy,2026-05-13,2026-06-24,603953.882000,229,2637.353197,4992.850000,106.837000,1401.307839,0.006264,1,1.000000,INR,Razorpay,IMPS,8,2,0,PAYOUT,1.000000,0.780000,0.930000,0.000000,0.000000,2,0.000000,0.000000,razorpay,0.849498,0.349345,0.000000,,1.000000,0.0000,2.0000,0.147355,0.000000,0.0000,5.0000,0.0000,5.0000,0.000000,0.000000,0.000000,0.000000,0.000000,210278.940000,0.000000,0.000000,210278.940000,0.348171,0.000000,0.000000,0.000000,0.000000,0.000000,intelligence.batch_contracts,0.050000,33073.350000,truth_manifest,33073.350000,0.050000,33073.350000,0.050000,1,229,229,458,298
